geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
    Brossard (2458007) V 00000 (  2.6%),Non-immigrants,36485.0,130800.0,16.6,25795.0,150200.0,13.7,10685.0,83800.0,23.5,9.8,Montreal,Brossard
    Brossard (2458007) V 00000 (  2.6%),Immigrant,50925.0,123000.0,19.5,38455.0,134400.0,18.5,12470.0,87700.0,22.6,4.100000000000001,Montreal,Brossard
    Saint-Lambert (2458012) V 00000 (  2.3%),Total Immigrant Status,21450.0,206800.0,17.7,15060.0,260400.0,14.5,6390.0,80900.0,25.3,10.8,Montreal,Saint-Lambert
    Saint-Lambert (2458012) V 00000 (  2.3%),Non-immigrants,16795.0,224600.0,16.8,12575.0,271600.0,14.1,4220.0,84400.0,24.9,10.799999999999999,Montreal,Saint-Lambert
    Saint-Lambert (2458012) V 00000 (  2.3%),Immigrant,4650.0,142600.0,21.0,2480.0,202400.0,16.5,2165.0,74200.0,26.1,9.600000000000001,Montreal,Saint-Lambert
    Boucherville (2458033) V 00000 (  1.1%),Total Immigrant Status,40695.0,174000.0,13.9,36065.0,185600.0,12.9,4635.0,82400.0,22.0,9.1,Montreal,Boucherville
    Boucherville (2458033) V 00000 (  1.1%),Non-immigrants,35575.0,176200.0,13.5,31555.0,188200.0,12.3,4020.0,81100.0,22.6,10.3,Montreal,Boucherville
    Boucherville (2458033) V 00000 (  1.1%),Immigrant,5120.0,158600.0,17.3,4505.0,167800.0,17.2,610.0,91200.0,17.8,0.6000000000000014,Montreal,Boucherville
    Saint-Bruno-de-Montarville (2458037) V 00000 (  1.1%),Total Immigrant Status,25750.0,179600.0,13.8,23380.0,190200.0,13.0,2370.0,75000.0,22.0,9.0,Montreal,Saint-Bruno-de-Montarville
    Saint-Bruno-de-Montarville (2458037) V 00000 (  1.1%),Non-immigrants,22150.0,183800.0,13.5,20135.0,194800.0,12.5,2015.0,73400.0,22.7,10.2,Montreal,Saint-Bruno-de-Montarville
    Saint-Bruno-de-Montarville (2458037) V 00000 (  1.1%),Immigrant,3595.0,154400.0,15.9,3245.0,162200.0,15.6,355.0,84000.0,18.6,3.0000000000000018,Montreal,Saint-Bruno-de-Montarville
    Longueuil (2458227) V 00000 (  3.2%),Total Immigrant Status,247805.0,107900.0,17.7,147040.0,132000.0,15.6,100760.0,72700.0,20.8,5.200000000000001,Montreal,Longueuil
    Longueuil (2458227) V 00000 (  3.2%),Non-immigrants,171735.0,108600.0,17.2,103070.0,134400.0,14.5,68660.0,69900.0,21.2,6.699999999999999,Montreal,Longueuil
    Longueuil (2458227) V 00000 (  3.2%),Immigrant,76070.0,106400.0,18.9,43970.0,126600.0,18.1,32100.0,78700.0,19.9,1.7999999999999972,Montreal,Longueuil
    Sainte-Julie (2459010) V 00000 (  0.9%),Total Immigrant Status,29195.0,151000.0,14.0,25310.0,162000.0,12.9,3885.0,80100.0,21.2,8.299999999999999,Montreal,Sainte-Julie
    Sainte-Julie (2459010) V 00000 (  0.9%),Non-immigrants,26505.0,152600.0,13.5,22910.0,163800.0,12.4,3600.0,81200.0,20.4,7.999999999999998,Montreal,Sainte-Julie
